HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,Unnamed: 64,county_fips
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510070300,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,703,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510070400,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,704,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080600,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,806,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080302,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,803.02,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510100200,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,1002,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510280500,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2805,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080400,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,804,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080800,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,808,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510090900,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,909,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510100100,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,1001,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080500,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,805,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510010200,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,102,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510080301,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,803.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-East Baltimore City,7247645787,HPSA Population,Mental Health,16,MD,Withdrawn,03/22/2019,01/02/2024,Unknown,24510060400,Not applicable,01/02/2024,2.0718,24349.0,32.9,11753:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,604,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,12431,11918,0,M,,6000:1,,3.3382,W,Hpsa Pop,2024/01/02,24,Maryland,Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Arlington,7247633967,HPSA Population,Mental Health,14,MD,Withdrawn,04/16/2010,06/25/2019,Unknown,24510151300,Not applicable,06/25/2019,0.8900,23464.0,29.4,26364:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,1513,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,4005,19459,0,M,,4500:1,,4.3200,W,Hpsa Pop,2019/06/25,24,Maryland,Psychiatrist / Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Arlington,7247633967,HPSA Population,Mental Health,14,MD,Withdrawn,04/16/2010,06/25/2019,Unknown,24510271600,Not applicable,06/25/2019,0.8900,23464.0,29.4,26364:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2716,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,4005,19459,0,M,,4500:1,,4.3200,W,Hpsa Pop,2019/06/25,24,Maryland,Psychiatrist / Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Arlington,7247633967,HPSA Population,Mental Health,14,MD,Withdrawn,04/16/2010,06/25/2019,Unknown,24510271801,Not applicable,06/25/2019,0.8900,23464.0,29.4,26364:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2718.01,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,4005,19459,0,M,,4500:1,,4.3200,W,Hpsa Pop,2019/06/25,24,Maryland,Psychiatrist / Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Arlington,7247633967,HPSA Population,Mental Health,14,MD,Withdrawn,04/16/2010,06/25/2019,Unknown,24510271900,Not applicable,06/25/2019,0.8900,23464.0,29.4,26364:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2719,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,4005,19459,0,M,,4500:1,,4.3200,W,Hpsa Pop,2019/06/25,24,Maryland,Psychiatrist / Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Medicaid Eligible - Arlington,7247633967,HPSA Population,Mental Health,14,MD,Withdrawn,04/16/2010,06/25/2019,Unknown,24510271700,Not applicable,06/25/2019,0.8900,23464.0,29.4,26364:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,7,,,2717,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,4005,19459,0,M,,4500:1,,4.3200,W,Hpsa Pop,2019/06/25,24,Maryland,Psychiatrist / Core Mental Health,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
